name-of-company,name-of-job,location,salary,tech
RM Staffing Associates,Senior Analyst - Credit Risk Management (Banking),"Woodbridge, NJ",$90K - $115K (Employer est.),Python
S&P Global4.1,Sr. Application Developer,United States,$100K - $155K (Employer est.),Python
Veracity Software4.1,Jr Python Developer,"Iselin, NJ",$87K - $113K (Glassdoor est.),Python
Emerest Connect,Data Analyst,"Brooklyn, NY",$63K - $76K (Employer est.),Python
Choice Home Warranty4.3,PHP Developer - ONSITE in NJ,"Edison, NJ",,Python
Staff it sol,Entry level QA Automation Tester,"Jersey City, NJ",$35.00 - $37.50 Per Hour (Employer est.),Python
,,,,Python
Crispin Corporation,Software Development Engineer,"Raleigh, NC",$90K (Employer est.),Python
Extron Electronics3.4,Software Developer- Cloud (Hybrid),"Raleigh, NC",$84K - $116K (Glassdoor est.),Python
HCL Technologies3.6,Systems Reliability Engineer,"Cary, NC",$125K (Employer est.),Python
Extron Electronics3.4,USB Test Engineer,"Raleigh, NC",$64K - $90K (Glassdoor est.),Python
VITCTS,EITS,"Morrisville, NC",,Python
Zolon Tech4.2,Automation Engineer – Subject Matter Expert,"Raleigh, NC",$71K - $103K (Glassdoor est.),Python
Gridiron IT4.6,Network/NOC Engineer,"Raleigh, NC",$65.00 - $70.00 Per Hour (Employer est.),Python
Northrop Grumman4.0,Principal/Senior Principal Embedded Software Engineer,"Morrisville, NC",$98K - $146K (Employer est.),Python
Synchrogistics3.5,Logistics Technology Business Analyst,"Raleigh, NC",$70K - $100K (Employer est.),Python
UCB3.9,Data Office Domain Lead (US),"Raleigh, NC",,Python
BAE Systems4.0,Entry Level Software Engineer (Hybrid),"Durham, NC",$52K - $89K (Employer est.),Python
North Carolina General Assembly4.4,Government Operations Investigative Analyst - Office of the House Speaker,United States,$50K - $105K (Employer est.),Python
NetApp4.0,NetApp Emerging Talent - Information Technology,"Research Triangle Park, NC",$100K - $148K (Glassdoor est.),Python
Infosys3.3,Data Modelling - Python Consultant,"Raleigh, NC",$70K - $111K (Glassdoor est.),Python
Fidelity TalentSource3.8,Senior Systems Administrator (Unix/Linux),"Durham, NC",$102K - $133K (Glassdoor est.),Python
Lenovo4.0,Jr AI Development Engineer,"Morrisville, NC",$104K - $136K (Glassdoor est.),Python
MetLife3.9,Infrastructure Vulnerability Assessment Lead,"Cary, NC",$90K - $128K (Glassdoor est.),Python
University of North Carolina at Chapel Hill4.1,Full Stack Developer,"Chapel Hill, NC",$58K - $93K (Glassdoor est.),Python
Aspida Financial Services LLC4.4,Risk Analyst,"Durham, NC",$71K - $119K (Glassdoor est.),Python
North Carolina State University4.2,System Administrator,"Raleigh, NC",$80K - $100K (Employer est.),Python
NVIDIA4.6,Deep Learning Architect - New College Grad 2024,"Durham, NC",$100K - $184K (Employer est.),Python
North Carolina State University4.2,Temporary-Professional NonFaculty,"Raleigh, NC",$20.00 - $25.00 Per Hour (Employer est.),Python
North Carolina State University4.2,Research Associate,"Raleigh, NC",$50K - $60K (Employer est.),Python
Williams Sonoma3.3,Stock Assoc,"Raleigh, NC",$33K - $46K (Glassdoor est.),Python
FlexGen4.3,Software Engineer,"Durham, NC",$74K - $106K (Glassdoor est.),Python
Hitachi Energy4.0,Scientist - Power Systems,"Raleigh, NC",,Python
PSC - Power Systems Consultants4.3,Systems Administrator,"Holly Springs, NC",$54K - $77K (Glassdoor est.),Python
ICF3.7,"Economics Analyst, Natural Resources","Durham, NC",$64K - $109K (Employer est.),Python
MetLife3.9,Technical Associate,"Cary, NC",$58K - $84K (Glassdoor est.),Python
Data Select,Global Process Mfg. and Automation Engineer,United States,$100K - $110K (Employer est.),Python
,,,,Python
Blue Ridge Envisioneering,FPGA Engineer,"Denver, CO",$120K (Employer est.),Python
Inovonics4.0,Manufacturing Test Engineering Manager,"Broomfield, CO",$130K - $140K (Employer est.),Python
AmeriCloud Solutions Inc4.0,Staff RAN Network Performance Engineer,"Littleton, CO",$74K - $100K (Employer est.),Python
Wise Blocks llc,Cosmos SDK & Cosm-Wasm Blockchain engineer,"Golden, CO",$72K - $108K (Employer est.),Python
Telspan Data,Senior Embedded Systems Engineer - Aviation and Defense Systems,"Centennial, CO",$120K - $140K (Employer est.),Python
ManTech International Corporation4.3,Entry Level CNO Developer,United States,$60K - $100K (Employer est.),Python
AmeriCloud Solutions Inc4.0,RF Engineer III,"Littleton, CO",$100K - $120K (Employer est.),Python
SSR Mining3.3,Senior Process Engineer,"Denver, CO",$110K - $130K (Employer est.),Python
Prologis4.5,Senior Cloud / DevOps Engineer,"Denver, CO",$104K - $135K (Employer est.),Python
Deloitte4.0,Java Full Stack Software Engineering Master - PDM Manager,"Denver, CO",$111K - $156K (Glassdoor est.),Python
Michael Baker International3.9,GIS Associate,"Lakewood, CO",$56K - $78K (Employer est.),Python
SciTec3.7,Associate Software Test Engineer,"Boulder, CO",$75K - $90K (Employer est.),Python
Michael Baker International3.9,GIS Associate II,"Lakewood, CO",$67K - $101K (Employer est.),Python
Janus Henderson3.7,Senior Risk Analyst,"Denver, CO",$80K - $85K (Employer est.),Python
SciTec3.7,Software Test Engineer,"Boulder, CO",$105K - $155K (Employer est.),Python
Actalent3.6,Software Engineer,"Aurora, CO",$40.00 - $95.00 Per Hour (Employer est.),Python
Raytheon3.8,Senior C++/Python Software Engineer,"Aurora, CO",,Python
Brooksource3.9,Senior Software Engineer,"Littleton, CO",$70.00 Per Hour (Employer est.),Python
BRAMKAS INC4.5,"Junior Python Developer ( Day 1 Onsite in Englewood,CO )","Englewood, CO",$65K - $94K (Glassdoor est.),Python
Hash Technologies5.0,Manual Tester--Python,"Greenwood Village, CO",$40.00 - $45.00 Per Hour (Employer est.),Python
Publicis Sapient3.7,Snowflake Architect,"Westminster, CO",$110K - $160K (Employer est.),Python
SciTec3.7,DevOps Engineer,"Boulder, CO",$82K - $164K (Employer est.),Python
SPECTRUM3.3,Security Engineer IV - Security Operations (Hybrid),"Greenwood Village, CO",,Python
S&P Global4.1,"Software Development/Engineer Lead (.Net, PEGA, or Java)","Englewood, CO",$100K - $175K (Employer est.),Python
Winwire Technologies4.2,Mobile Device QA,"Denver, CO",$39.18 - $47.19 Per Hour (Employer est.),Python
Locks Global Staffing LLC,Python Developer,"Denver, CO",$60.00 - $75.00 Per Hour (Employer est.),Python
Tortuga AgTech,Python Developer II,"Denver, CO",$90K - $130K (Employer est.),Python
Gurutech Solutions,Device Test Engineer,"Denver, CO",$45.00 - $50.00 Per Hour (Employer est.),Python
Northrop Grumman4.0,Database Administrator / Principal Database Administrator (DoD TS/SCI with CI Poly required**),"Aurora, CO",$74K - $110K (Employer est.),Python
Business Integra Inc4.2,Junior Software Engineer,"Westminster, CO",$40.00 - $48.00 Per Hour (Employer est.),Python
,,,,Python
"R-DEX Systems, Inc.",Senior DSP/FPGA Firmware Engineer,"Atlanta, GA",$120K - $160K (Employer est.),Python
"Contingent Crew, LLC5.0",Senior Platform Engineer,United States,$110K - $125K (Employer est.),Python
Gradient Technologies,Firmware Developer (C/C++/Embedded) 3-5yrs experience,"Alpharetta, GA",$86K - $105K (Employer est.),Python
NXTCOMM 2.0,Embedded Software Engineer/Firmware developer 2+Yrs EXP REQ,"Doraville, GA",$93K - $112K (Employer est.),Python
Gradient Technologies,Junior Firmware Developer (C/C++/Embedded) 1-3yrs experience,"Alpharetta, GA",$71K - $85K (Employer est.),Python
Tech consulting,Mobile Developer,"Atlanta, GA",$25K - $35K (Employer est.),Python
RedStream Technology LLC4.3,Unified Communications Engineer,"Atlanta, GA",$40.00 - $60.00 Per Hour (Employer est.),Python
DealerOps,SQL Server DBA/ETL Developer,"Roswell, GA",$60K - $110K (Employer est.),Python
iCode Alpharetta,Trainer (COMPUTER SCIENCE INSTRUCTOR FOR KIDS K-12),"Alpharetta, GA",$10.00 - $15.00 Per Hour (Employer est.),Python
The Coder School,NOW HIRING: Computer Programming Instructors for Kids!,"Atlanta, GA",$17.00 - $23.00 Per Hour (Employer est.),Python
AIG3.7,Associate Actuary - Rater Delivery,"Atlanta, GA",$86K - $129K (Glassdoor est.),Python
Applied Technical Services LLC3.5,Project Technician - Lightning Protection and Tie-Back Safety Installation,"Norcross, GA",$46K - $70K (Glassdoor est.),Python
Diverseteam.llc,Python Developer,"Atlanta, GA",$100K - $114K (Employer est.),Python
INSPYR Solutions4.1,"Senior Advisor, Software Development",United States,$130K (Employer est.),Python
Publicis Sapient3.7,Snowflake Architect,"Atlanta, GA",$110K - $160K (Employer est.),Python
Varsity Tutors3.3,Smyrna Python Tutor,"Smyrna, GA",$40K - $65K (Glassdoor est.),Python
AGM Tech Solutions4.6,Senior Application Developer,"Alpharetta, GA",$120.00 - $125.00 Per Hour (Employer est.),Python
Warner Bros. Discovery3.6,BI Developer,"Atlanta, GA",$79K - $108K (Glassdoor est.),Python
Agama Solutions4.5,Python Developer,"Atlanta, GA",$85K - $106K (Glassdoor est.),Python
Actalent3.6,Embedded Firmware Engineer,"Smyrna, GA",$76.51 - $95.05 Per Hour (Employer est.),Python
Applied Technical Services Llc3.5,Cybersecurity Analyst,"Marietta, GA",$65K - $102K (Glassdoor est.),Python
LendingPoint LLC3.7,"Director, Risk Management","Kennesaw, GA",$105K - $150K (Glassdoor est.),Python
Delta Airlines4.3,"Co-op, Data Analyst - Crew Resources (Summer, 2024)","Atlanta, GA",$72K - $117K (Glassdoor est.),Python
3T Consulting Group5.0,Junior Developer,"Decatur, GA",$56K - $99K (Glassdoor est.),Python
Global Information Technology3.9,Quantitative Finance Analyst,"Atlanta, GA",$84K - $124K (Glassdoor est.),Python
Enru Logistics and Postal Optimization,Software Engineer,"Atlanta, GA",$93K - $128K (Glassdoor est.),Python
Verizon3.8,Senior Data Scientist,"Alpharetta, GA",$112K - $152K (Glassdoor est.),Python
Synergis3.7,Cloud Data Architect,"Atlanta, GA",$150K - $195K (Employer est.),Python
Swift Technologies Inc4.1,Lead Python Developer,"Atlanta, GA",$60.00 - $70.00 Per Hour (Employer est.),Python
Wingsoft Consulting LLC5.0,SQL MX DBA,"Atlanta, GA",$41.53 - $73.70 Per Hour (Employer est.),Python
,,,,Python
Options Clearing Corporation3.3,"Associate Principal, Cloud Engineering (Kafka)","Chicago, IL",,Python
Spraying Systems Co4.1,CFD Engineer,"Glendale Heights, IL",$61K - $73K (Employer est.),Python
Treehouse Foods3.4,IT Solution Architect,"Oak Brook, IL",$105K - $149K (Glassdoor est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Chicago, IL",$30.00 Per Hour (Employer est.),Python
The Federal Home Loan Bank of Chicago3.7,Risk Analyst – Collateral Credit Risk,"Chicago, IL",$68K - $97K (Glassdoor est.),Python
Tibra Global Services Pty Ltd,Quant Trader Developer (Graduate Role) - Relocate to Australia,"Chicago, IL",$150K (Employer est.),Python
"Sebis Direct, Inc.2.6",IT Systems Administrator - Supervisor,"Bedford Park, IL",$47K - $71K (Glassdoor est.),Python
Loyola Press,Systems Administrator,"Chicago, IL",$70K - $90K (Employer est.),Python
HAVI3.6,"Data Scientist – Global Planning & Analytics, Analytics & Insights","Chicago, IL",$102K - $135K (Glassdoor est.),Python
Discover Financial Services3.8,Principal Application Engineer (Python),"Riverwoods, IL",$104K - $176K (Employer est.),Python
Discover Financial Services3.8,Application Engineer (Full Stack),"Riverwoods, IL",$87K - $146K (Employer est.),Python
Wavicle Data Solutions4.7,BI Engineer,"Oak Brook, IL",$109K - $116K (Employer est.),Python
Discover Financial Services3.8,Application Engineer,"Riverwoods, IL",$87K - $146K (Employer est.),Python
Discover Financial Services3.8,Senior Associate Application Engineer (Full Stack),"Riverwoods, IL",$72K - $121K (Employer est.),Python
CNA Insurance3.8,"Dev Ops Engineer, Senior Specialist","Chicago, IL",$74K - $114K (Glassdoor est.),Python
Home Chef3.5,Operations Excellence Analyst,"Chicago, IL",$80K - $90K (Employer est.),Python
The Judge Group3.6,Python Developer,"Chicago, IL",$120K - $150K (Employer est.),Python
Cboe4.4,Sr Software Quality Engineer,"Chicago, IL",$104K - $172K (Employer est.),Python
HCSC,Sr Systems Analyst,"Chicago, IL",$87K - $119K (Glassdoor est.),Python
Horizon Therapeutics4.3,"Manager, Data Infrastructure","Deerfield, IL",$97K - $139K (Glassdoor est.),Python
Horizon Therapeutics4.3,"Manager, Commercial Analytics & Insights OBU - Performance Reporting","Deerfield, IL",$91K - $125K (Glassdoor est.),Python
Discover Financial Services3.8,Infrastructure Engineer,"Riverwoods, IL",$87K - $146K (Employer est.),Python
Options Clearing Corporation3.3,"Senior Associate, Software Engineering DevOps","Chicago, IL",$105K - $140K (Glassdoor est.),Python
Group One Trading,Application Support Specialist,"Chicago, IL",,Python
HCSC,Lead Machine Learning Engineer,"Chicago, IL",,Python
Options Clearing Corporation3.3,"Associate Principal, Software Engineering DevOps","Chicago, IL",$109K - $148K (Glassdoor est.),Python
Discover Financial Services3.8,Manager Application Engineering ( OpenText Exstream ),"Riverwoods, IL",$104K - $176K (Employer est.),Python
Discover Financial Services3.8,Infrastructure Engineer (Storage),"Riverwoods, IL",$87K - $146K (Employer est.),Python
Home Partners of America Inc4.2,Data Scientist Associate,"Chicago, IL",$78K - $105K (Glassdoor est.),Python
TCG Digital4.0,"AWS, Java / Python","Chicago, IL",$77K - $135K (Glassdoor est.),Python
,,,,Python
JPMorgan Chase & Co4.0,Experienced Software Engineer Java / Python (Full Stack or Back End),"Plano, TX",$104K - $134K (Glassdoor est.),Python
Airland Inc,E-commerce Specialist,"Carrollton, TX",,Python
Sitewise Analytics,Senior Predictive Modeler,"Dallas, TX",$90K (Employer est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Dallas, TX",$30.00 Per Hour (Employer est.),Python
Happy Global,Project Manager,"Addison, TX",$5K (Employer est.),Python
Covalar Design,Engineering Technician (req exp with high freq test using VNA),"Dallas, TX",$28.00 - $34.00 Per Hour (Employer est.),Python
Resolve Tech Solutions Inc.4.0,Mobile Architect - 100% onsite,"Irving, TX",$106K - $140K (Employer est.),Python
Cates Control Systems4.0,Controls Engineer,"Plano, TX",$80K - $105K (Employer est.),Python
Top Rank Recruiting,Test and Evaluation Engineer,"Dallas, TX",,Python
Mouser Electronics4.1,Software Architect,"Mansfield, TX",$92K - $128K (Glassdoor est.),Python
Symbio Search,Senior CyberArk Information Security Engineer,"Plano, TX",$120K - $150K (Employer est.),Python
Deloitte4.0,Java Full Stack Software Engineering Master - PDM Manager,"Dallas, TX",$107K - $157K (Glassdoor est.),Python
iCode North Dallas,Instructor / Computer Science,"Dallas, TX",$15.00 Per Hour (Employer est.),Python
Jack Henry & Associates3.8,Senior Network Engineer: WAN,"Allen, TX",$77K - $113K (Glassdoor est.),Python
Logix Fiber Networks2.9,Security Engineer,Texas,,Python
Lifecorp3.4,Python Programmer who enjoys helping people smile $70k-$100k,"Arlington, TX",$70K - $100K (Employer est.),Python
Mouser Electronics4.1,Systems Engineer Sr,"Mansfield, TX",$72K - $95K (Glassdoor est.),Python
"Barobo, Inc.",K-12 Math and Computer Science Education Specialist,Dallas-Fort Worth,$60K - $95K (Employer est.),Python
OpTech LLC4.5,"Data Engineer (Python, Informatica) - onsite in Frisco TX /Auburn Hills MI","Plano, TX",$40.00 - $60.00 Per Hour (Employer est.),Python
Verizon3.8,Senior Data Scientist,"Irving, TX",$111K - $147K (Glassdoor est.),Python
Artint Knowledge Tech,Python Developer,"Dallas, TX",$50.00 - $60.00 Per Hour (Employer est.),Python
DSMH LLC5.0,Python Developer -(24657-1),"Dallas, TX",$40.00 - $44.00 Per Hour (Employer est.),Python
Internal Data Resources4.2,Data Scientist,"Dallas, TX",$60.00 - $70.00 Per Hour (Employer est.),Python
QuantumBricks Inc4.7,Senior Python Developer,"Dallas, TX",$45.00 - $55.00 Per Hour (Employer est.),Python
Netvia Group2.3,CAD/CAM Engineer,"Irving, TX",$40K - $60K (Employer est.),Python
ATEC Wireless2.7,Java Python Software Engineer,"Dallas, TX",$45.00 - $55.00 Per Hour (Employer est.),Python
Real Time Resolutions Inc3.2,Jr. Business Analyst,"Dallas, TX",$50K - $65K (Employer est.),Python
Agama Solutions4.5,SDET,"Dallas, TX",$87K - $111K (Glassdoor est.),Python
New York Technology Partners4.0,GCP Architect,"Dallas, TX",$70.00 - $75.00 Per Hour (Employer est.),Python
Federation of State Medical Boards3.9,Data Engineer,Dallas-Fort Worth,$72K - $101K (Glassdoor est.),Python
,,,,Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Houston, TX",$30.00 Per Hour (Employer est.),Python
Harris Central Appraisal District,GIS (Web Developer) Analyst II,"Houston, TX",,Python
Walter's Consulting Services,Senior Civil Analyst Project Manager,"Houston, TX",$75K - $130K (Employer est.),Python
"Code Ninjas of Houston, TX",Coding Instructor,"Houston, TX",$11.00 - $13.00 Per Hour (Employer est.),Python
Pemex Deer Park,IT Data / Data Warehouse Lead,"Deer Park, TX",,Python
iCode Pearland3.9,Coding Instructor (Technical Lead)- After School and Camps,"Pearland, TX",$12.00 - $15.00 Per Hour (Employer est.),Python
Deloitte4.0,Java Full Stack Software Engineering Master - PDM Manager,"Houston, TX",$106K - $161K (Glassdoor est.),Python
Mitsubishi Logisnext Americas Inc3.9,"Senior Electrical Engineer, CSM","Houston, TX",$80K - $115K (Glassdoor est.),Python
Macquarie Group Limited4.4,Junior Structuring Analyst,"Houston, TX",$68K - $97K (Glassdoor est.),Python
